Year,Month,Month_Code,Deaths
2012,"May, 2012",2012/05,64242
2012,"Jun., 2012",2012/06,60564
2012,"Jul., 2012",2012/07,62025
2012,"Aug., 2012",2012/08,61777
2012,"Sep., 2012",2012/09,60852
2012,"Oct., 2012",2012/10,65659
2012,"Nov., 2012",2012/11,67119
2012,"Dec., 2012",2012/12,74121
2013,"Jan., 2013",2013/01,81355
2013,"Feb., 2013",2013/02,68296
2013,"Mar., 2013",2013/03,72579
2013,"Apr., 2013",2013/04,65807
2013,"May, 2013",2013/05,64526
2013,"Jun., 2013",2013/06,60931
2013,"Jul., 2013",2013/07,62307
2013,"Aug., 2013",2013/08,61755
2013,"Sep., 2013",2013/09,60214
2013,"Oct., 2013",2013/10,64877
2013,"Nov., 2013",2013/11,65798
2013,"Dec., 2013",2013/12,72492
2014,"Jan., 2014",2014/01,75853
2014,"Feb., 2014",2014/02,66249
2014,"Mar., 2014",2014/03,70985
2014,"Apr., 2014",2014/04,66585
2014,"May, 2014",2014/05,66735
2014,"Jun., 2014",2014/06,61750
2014,"Jul., 2014",2014/07,63268
2014,"Aug., 2014",2014/08,62091
2014,"Sep., 2014",2014/09,62194
2014,"Oct., 2014",2014/10,66805
2014,"Nov., 2014",2014/11,68950
2014,"Dec., 2014",2014/12,76310
2015,"Jan., 2015",2015/01,82831
2015,"Feb., 2015",2015/02,71357
2015,"Mar., 2015",2015/03,75775
2015,"Apr., 2015",2015/04,69477
2015,"May, 2015",2015/05,68765
2015,"Jun., 2015",2015/06,64405
2015,"Jul., 2015",2015/07,66309
2015,"Aug., 2015",2015/08,64816
2015,"Sep., 2015",2015/09,63389
2015,"Oct., 2015",2015/10,68320
2015,"Nov., 2015",2015/11,68154
2015,"Dec., 2015",2015/12,72948
2016,"Jan., 2016",2016/01,76855
2016,"Feb., 2016",2016/02,71817
2016,"Mar., 2016",2016/03,75106
2016,"Apr., 2016",2016/04,69813
2016,"May, 2016",2016/05,68706
2016,"Jun., 2016",2016/06,64938
2016,"Jul., 2016",2016/07,65796
2016,"Aug., 2016",2016/08,66167
2016,"Sep., 2016",2016/09,64200
2016,"Oct., 2016",2016/10,69488
2016,"Nov., 2016",2016/11,70016
2016,"Dec., 2016",2016/12,77776
2017,"Jan., 2017",2017/01,81377
2017,"Feb., 2017",2017/02,72400
2017,"Mar., 2017",2017/03,77362
2017,"Apr., 2017",2017/04,70460
2017,"May, 2017",2017/05,70299
2017,"Jun., 2017",2017/06,66182
2017,"Jul., 2017",2017/07,66441
2017,"Aug., 2017",2017/08,66583
2017,"Sep., 2017",2017/09,66309
2017,"Oct., 2017",2017/10,70164
2017,"Nov., 2017",2017/11,70774
2017,"Dec., 2017",2017/12,80774
2018,"Jan., 2018",2018/01,88400
2018,"Feb., 2018",2018/02,72503
2018,"Mar., 2018",2018/03,77047
2018,"Apr., 2018",2018/04,71915
2018,"May, 2018",2018/05,70352
2018,"Jun., 2018",2018/06,66871
2018,"Jul., 2018",2018/07,68050
2018,"Aug., 2018",2018/08,67333
2018,"Sep., 2018",2018/09,65407
2018,"Oct., 2018",2018/10,71078
2018,"Nov., 2018",2018/11,72229
2018,"Dec., 2018",2018/12,77477
